Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population,crimes.total_lag1,crimes.total_lag2,crimes.total_growth
1996-01-01,0.7657244848266318,0.9057388554285378,0.6445145286936886,0.3371598015688717,0.661053853035625,0.1817407883711078,-0.1076445161364095,1.1036991656594537,0.8788496688427699,-0.4870575551565957,1.1952170249962737,0.8431110921419487,0.8848351665322756,0.5104630110264095,0.1207362829843762,0.5968594011703957,-0.0074473927408893,-0.1198693303510641,-0.8467961675226116,0.7033947746906738,0.6912929549127332,0.6168614249988348,0.10767002525476999
1997-01-01,0.8277507597548805,0.994067445598795,0.6957445072891726,0.3371598015688717,0.7182588738342499,0.2445412702166215,-0.0550183082474982,1.34629112861952,0.9450417014156592,-0.0622232118922523,1.5959515849428323,1.376911108767496,1.1782059470214694,0.7665567851393209,-0.5828248593199734,0.733373773545266,-0.1310315557097046,-0.1367956799513427,-1.089789850376926,0.7076054460351155,0.7657244848266318,0.6912929549127332,0.0810033845819782
1998-01-01,0.7776526146205257,0.9484966443007642,0.7606358135101188,0.3371598015688717,0.7861898360326172,0.3910757278561535,0.1028603154192357,1.2343998057433063,0.704543983067495,-0.2982422914835542,1.497140323586147,1.3795668302432451,0.9031708403128502,0.7950116489296444,-0.6159636087763377,0.8032957691519069,-0.2265284089128801,-0.0927871709906183,-1.3479706384096353,0.714623231609185,0.8277507597548805,0.7657244848266318,-0.06052322458657755
1999-01-01,0.7953062467154889,0.9299307622904552,0.8801724302329146,0.3371598015688717,0.8934492500300388,0.5585436794441899,0.2081127311970583,1.180865595229256,0.455220660376279,-0.5106594631157259,1.524587896185226,1.4486155886127188,0.4814503433596337,1.392563788526438,-0.5598826481578751,0.6434740649081563,-0.0425565299479391,0.0866321347723351,-1.0442285348417422,0.7244481314128822,0.7776526146205257,0.8277507597548805,0.02270118014529876
2000-01-01,0.8611495231777837,0.9591860915188208,0.8357731154501619,0.3371598015688717,0.8576961120308982,0.4748097036501718,0.155486523308147,1.1350480276721857,0.5081742864345904,-0.2982422914835542,1.3763710041501975,1.5973359912546623,0.2308628016917805,1.5063832436877318,-0.412032842891019,0.8549048611472847,0.1919725065951535,-0.0657050116301725,-0.4519314328843503,0.7440979310202769,0.7953062467154889,0.7776526146205257,0.08278983942879736
2001-01-01,0.7838552421133507,0.8615745603434092,0.8528497749819898,0.3371598015688717,0.8755726810304686,0.5794771733926946,0.155486523308147,0.92332263654004,0.1882461289989591,-0.9354938063800692,1.1732589669170104,1.095404632338103,0.1636319978296735,1.3641089247361144,-0.6516514928062686,1.0596764197095905,0.2172510853842293,-0.0690902815502282,-0.3456216966355876,0.7777833017758103,0.8611495231777837,0.7953062467154889,-0.0897570967457596
2002-01-01,0.8537540827055694,0.912208784007888,0.9109104173902048,0.3371598015688717,0.9256270742292654,0.6841446431352174,0.2081127311970583,0.9729985255756004,0.2103101398565889,-0.6522709108705069,1.1952170249962737,1.2096006557953096,0.2430865842121636,1.4494735161070849,-0.6363566853648697,1.1212743682202024,0.3689225581186845,0.1238701038929481,-0.1330022241380623,0.8184864581054134,0.7838552421133507,0.8611495231777837,0.08917314937355592
2003-01-01,0.9334339897287812,1.0089764114555582,1.0816770127084845,0.3371598015688717,1.082940881425484,0.7888121128777402,0.4712437706416149,0.8996904174842881,0.2765021724294781,-0.4162518312792052,0.7176292617722929,1.058224531677617,0.6403595161246138,1.335654060945791,0.0085743617474509,1.3393644021361537,0.4377364670445021,0.2389692811748428,0.0948043535378576,0.864803842894272,0.8537540827055694,0.7838552421133507,0.09332887377909116
2004-01-01,0.9067149789904588,0.9673438275536534,1.146568318929431,0.3371598015688717,1.1544471574237651,0.8516125947232539,0.4712437706416149,0.8037146707068463,0.1882461289989591,-0.3690480153609448,0.3443422744248137,0.8457668136176977,0.8053805801497855,1.3641089247361144,-0.2284951535942321,1.2611183594334845,0.5163809343882936,0.3946916974974062,0.3226109312137775,0.9153318990275724,0.9334339897287812,0.8537540827055694,-0.028624424471714205
2005-01-01,0.8752247163345785,0.9158657001614336,1.3480729014050006,1.7279439830404673,1.3653906716186943,1.144681510002318,1.155384473197462,0.6744609011774271,0.029385250824025,-0.6286690029113767,0.031439946795309,0.6147190452275354,0.5547930384819323,1.5917478350587024,-0.233593422741365,1.256123931175867,0.5880035742906752,0.6418164016614742,0.4744819829977241,0.9658599551608726,0.9067149789904588,0.9334339897287812,-0.034730056727354075
2006-01-01,0.8124827536186962,0.7752150788712151,1.494932173378721,1.7279439830404673,1.5191291650149992,1.228415485796336,1.365889304753107,0.4034138173134958,-0.3236389228980507,-1.0771052541348505,-0.3253784969927225,-0.0438998807582143,0.3897719744567606,1.335654060945791,-0.248888230182764,1.2444702652414268,0.9208381950135072,1.1902301287105015,1.1427146108470896,1.0374413680163814,0.8752247163345785,0.9067149789904588,-0.07168668976653714
